time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-20T05:28:04.238+00:00,12629017,41.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:04.545+00:00,12629324,41.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:04.852+00:00,12629631,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:05.159+00:00,12629938,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:05.466+00:00,12630245,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:05.773+00:00,12630552,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:06.080+00:00,12630859,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:06.387+00:00,12631166,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:06.694+00:00,12631473,41.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:07.001+00:00,12631780,41.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:07.308+00:00,12632087,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:07.615+00:00,12632394,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:07.922+00:00,12632701,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:08.229+00:00,12633008,39.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:08.536+00:00,12633315,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:08.843+00:00,12633622,39.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:09.150+00:00,12633929,40.3,28.68,0.0,10,14.5,-35.5
2026-07-20T05:28:09.457+00:00,12634236,40.3,28.69,0.0,10,14.5,-35.5
2026-07-20T05:28:09.764+00:00,12634543,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:10.071+00:00,12634850,41.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:10.378+00:00,12635157,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:10.685+00:00,12635464,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:10.992+00:00,12635771,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:11.298+00:00,12636078,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:11.606+00:00,12636385,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:11.913+00:00,12636692,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:12.220+00:00,12636999,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:12.527+00:00,12637306,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:12.834+00:00,12637613,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:13.141+00:00,12637920,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:13.448+00:00,12638227,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:13.754+00:00,12638534,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:14.062+00:00,12638841,40.3,28.69,0.0,10,15.0,-35.5
2026-07-20T05:28:14.369+00:00,12639148,40.3,28.68,0.0,10,15.0,-35.5
2026-07-20T05:28:14.676+00:00,12639455,40.3,28.68,0.0,10,15.0,-35.5
