pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
2,9,158854,3.4255,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,159580,3.5832,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,160306,5.0255,39.6,29.61,-53.0,9,0.0,-35.5,1
2,9,161032,4.0565,38.6,29.61,-53.5,9,0.0,-35.5,1
2,9,161758,4.5297,38.6,29.60,-53.0,9,0.0,-35.5,1
2,9,162484,4.7326,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,163210,4.7326,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,163936,4.4396,39.6,29.61,-53.5,9,0.0,-35.5,1
2,9,164662,4.4847,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,165388,3.7861,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,166114,3.6508,38.6,29.60,-53.5,9,0.0,-35.5,1
2,9,166840,3.4255,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,167566,4.0565,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,168292,3.8537,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,169018,4.2593,40.6,29.61,-53.5,9,0.0,-35.5,1
2,9,169744,3.9663,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,170470,5.4312,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,171196,5.4312,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,171922,4.4396,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,172648,4.8002,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,173374,4.4171,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,174100,3.9438,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,174826,3.8537,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,175552,3.7861,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,176278,3.7861,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,177004,4.1241,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,177730,4.4621,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,178456,5.2734,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,179182,5.2734,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,179908,4.3495,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,180634,5.5889,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,181360,3.7635,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,182086,4.5072,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,182812,3.9889,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,183538,5.3185,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,184264,3.8537,39.6,29.60,-53.5,9,0.0,-35.5,1
2,9,184990,4.0565,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,185716,4.6424,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,186442,4.5072,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,187168,4.5072,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,187894,3.3353,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,188620,4.8227,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,189346,5.7016,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,190072,5.5664,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,190798,4.4396,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,191524,3.6734,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,192250,2.9297,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,192976,3.7635,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,193702,3.5832,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,194428,5.6115,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,195154,5.2960,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,195880,3.2452,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,196606,4.0340,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,197332,4.8453,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,198058,4.6199,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,198784,4.1466,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,199510,3.5382,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,200236,3.6734,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,200962,12.8005,39.6,29.59,-53.5,9,0.0,-35.5,0
2,9,201688,4.7100,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,202414,4.1692,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,203140,4.0565,39.6,29.59,-53.5,9,0.0,-35.5,1
2,9,203866,3.6508,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,204592,5.4087,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,205318,4.1241,40.6,29.59,-53.0,9,0.0,-35.5,1
2,9,206044,3.7861,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,206770,4.7100,40.6,29.59,-53.5,9,0.0,-35.5,1
2,9,207496,4.6875,40.6,29.59,-53.0,9,0.0,-35.5,1
2,9,208222,4.1241,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,208948,4.1241,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,209674,5.5439,40.6,29.60,-53.5,9,0.0,-35.5,1
2,9,210400,4.0790,40.6,29.60,-53.0,9,0.0,-35.5,1
2,9,211126,5.4763,39.6,29.60,-53.0,9,0.0,-35.5,1
2,9,211852,3.3353,39.6,29.59,-53.5,9,0.0,-35.5,1
