--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
351096,-7.2791,26.3,13.97
351817,-7.2791,26.3,13.96
352538,-7.2791,24.3,13.95
353259,-7.2791,24.3,13.93
353980,-7.2791,25.3,13.93
354701,-7.2791,24.3,13.91
355422,-7.2791,23.3,13.90
356143,-7.2791,24.3,13.89
356864,-7.2791,23.3,13.88
357585,-7.2791,24.3,13.87
358306,-7.2791,24.3,13.86
359027,-7.3468,24.3,13.86
359748,-7.1439,23.3,13.84
360469,-6.3326,23.3,13.83
361190,-5.9721,23.3,13.83
361911,-6.5805,24.3,13.82
362632,-6.2200,24.3,13.80
363353,-7.4594,24.3,13.80
# [n=500] mean=-7.1341 m  sigma=1.2028 m  die=24.3 C  CalVal=-43
364074,-6.7157,23.3,13.78
364795,-6.8960,24.3,13.77
365516,-7.2341,23.3,13.77
366237,-6.7608,23.3,13.75
366958,-5.2960,24.3,13.75
367679,-6.0847,24.3,13.73
368400,-4.9354,24.3,13.73
369121,-6.1073,24.3,13.72
369842,-6.1073,23.3,13.71
370563,-6.1073,23.3,13.69
371284,-6.1073,24.3,13.69
372005,-6.1073,24.3,13.68
372726,-6.1073,25.3,13.67
373447,-6.1073,25.3,13.66
374168,-6.1073,25.3,13.65
374889,-6.1073,25.3,13.64
375610,-6.1073,24.3,13.62
376331,-6.1073,24.3,13.62
377052,-6.1073,25.3,13.60
377773,-6.1073,24.3,13.60
378494,-6.1073,25.3,13.58
379215,-6.1073,23.3,13.58
379936,-6.1073,24.3,13.57
380657,-6.1073,25.3,13.56
381378,-6.1073,25.3,13.55
382099,-6.1073,25.3,13.54
382820,-6.1073,24.3,13.53
383541,-6.1073,24.3,13.52
384262,-6.1073,24.3,13.51
384983,-6.1073,25.3,13.50
385704,-6.4453,24.3,13.49
386425,-7.3242,25.3,13.48
387146,-6.4453,25.3,13.47
387867,-6.3101,25.3,13.46
388588,-5.7918,25.3,13.45
389309,-6.3777,23.3,13.44
390030,-7.2791,23.3,13.43
390751,-7.3017,23.3,13.42
391472,-6.6481,23.3,13.42
392193,-6.7834,23.3,13.40
392914,-7.4144,22.3,13.39
393635,-6.7834,23.3,13.38
394356,-6.7834,23.3,13.38
395077,-6.7834,23.3,13.37
395798,-6.4904,23.3,13.36
396519,-6.4904,24.3,13.35
397240,-6.4904,23.3,13.34
397961,-6.4904,24.3,13.33
398682,-6.4904,24.3,13.32
399403,-6.4904,25.3,13.31
400124,-6.4904,25.3,13.30
400845,-6.4904,25.3,13.29
401566,-6.4904,24.3,13.28
402287,-6.4904,25.3,13.27
403008,-6.4904,25.3,13.26
403729,-6.4904,24.3,13.25
404450,-6.4904,25.3,13.24
405171,-6.4904,25.3,13.23
405892,-6.4904,25.3,13.22
406613,-6.4904,24.3,13.21
407334,-6.4904,24.3,13.20
408055,-6.4904,24.3,13.19
408776,-6.4904,24.3,13.18
409497,-6.4904,23.3,13.18
410218,-6.4904,23.3,13.17
410939,-6.4904,23.3,13.16
411660,-6.4904,23.3,13.15
412381,-6.2200,23.3,13.14
413102,-7.0989,23.3,13.13
413823,-7.5721,23.3,13.11
414544,-7.0989,24.3,13.11
415265,-6.6707,23.3,13.10
415986,-7.5270,23.3,13.10
416707,-6.9411,24.3,13.08
417428,-7.5721,24.3,13.07
418149,-6.4002,23.3,13.07
418870,-7.2791,23.3,13.05
419591,-6.7383,23.3,13.04
420312,-6.3552,24.3,13.04
421033,-6.8284,24.3,13.03
421754,-6.1749,23.3,13.02
422475,-7.3918,24.3,13.01
423196,-7.3918,24.3,13.00
423917,-7.3918,23.3,12.99
424638,-7.3918,23.3,12.98
425359,-7.3918,24.3,12.97
426080,-7.3918,24.3,12.97
426801,-7.3918,24.3,12.96
427522,-7.3918,24.3,12.95
428243,-7.3918,23.3,12.94
428964,-7.3918,24.3,12.93
429685,-7.3918,23.3,12.92
430406,-7.3918,23.3,12.91
431127,-7.3918,23.3,12.90
431848,-7.3918,23.3,12.89
432569,-7.3918,23.3,12.88
433290,-7.3918,23.3,12.88
434011,-7.3918,23.3,12.86
434732,-7.3918,22.3,12.86
435453,-7.3918,23.3,12.85
# [n=600] mean=-7.0535 m  sigma=1.1351 m  die=23.3 C  CalVal=-43
436174,-7.3918,23.3,12.84
436895,-7.3918,24.3,12.83
437616,-7.3918,23.3,12.83
438337,-7.3918,23.3,12.81
439058,-7.0087,23.3,12.81
439779,-6.9411,23.3,12.79
440500,-7.1439,24.3,12.79
441221,-6.7383,23.3,12.78
441942,-6.5805,22.3,12.77
442663,-7.6848,23.3,12.76
443384,-6.5355,23.3,12.75
444105,-7.8425,22.3,12.74
444826,-7.3468,23.3,12.73
445547,-7.4369,23.3,12.72
446268,-6.6481,22.3,12.72
446989,-6.3777,23.3,12.71
447710,-7.4820,23.3,12.70
